Dopant,Dopant/Ti mole ratio,Calcination temperature,Pollutant,Catalyst/Pollutant mass ratio,pH,Experimental temperature,Light wavelength,Illumination time,Degradation rate,,
pure,0,800,MB,50,7,0,345,60,72.9,,
pure,0,800,MB,50,7,0,345,70,83.9,,
pure,0,800,MB,50,7,0,345,90,90.2,,
pure,0,800,MB,50,7,0,345,120,93.5,,
pure,0,900,MB,50,7,0,345,15,21.1,,
pure,0,900,MB,50,7,0,345,30,39.7,,
pure,0,900,MB,50,7,0,345,45,51.8,,
pure,0,900,MB,50,7,0,345,60,61.4,,
pure,0,900,MB,50,7,0,345,70,71,,
pure,0,900,MB,50,7,0,345,90,76.4,,
pure,0,900,MB,50,7,0,345,120,86,,
Bi,0.0019,400,Phenol,100,7,25,525,30,34.44,,
Bi,0.0038,400,Phenol,100,7,25,525,30,19.52,,
Bi,0.0086,400,Phenol,100,7,25,525,30,13.44,,
Bi,0.0019,400,Phenol,100,7,25,525,60,63.17,,
Bi,0.0038,400,Phenol,100,7,25,525,60,44.38,,
Bi,0.0086,400,Phenol,100,7,25,525,60,33.52,,
Bi,0.0019,400,Phenol,100,7,25,525,90,89.5,,
Bi,0.0038,400,Phenol,100,7,25,525,90,73.48,,
Bi,0.0086,400,Phenol,100,7,25,525,90,61.33,,
Bi,0.0019,400,Phenol,100,7,25,525,120,100,,
Bi,0.0038,400,Phenol,100,7,25,525,120,94.11,,
Bi,0.0086,400,Phenol,100,7,25,525,120,84.71,,
Bi,0.0019,500,Phenol,100,7,25,525,15,22.75,,
Bi,0.0038,500,Phenol,100,7,25,525,15,16.88,,
Bi,0.0086,500,Phenol,100,7,25,525,15,14.86,,
Bi,0.0019,500,Phenol,100,7,25,525,30,40.55,,
Bi,0.0038,500,Phenol,100,7,25,525,30,38.72,,
Bi,0.0086,500,Phenol,100,7,25,525,30,29.17,,
Bi,0.0019,500,Phenol,100,7,25,525,60,86.61,,
Bi,0.0038,500,Phenol,100,7,25,525,60,69.12,,
Bi,0.0086,500,Phenol,100,7,25,525,60,58.53,,
Bi,0.0019,500,Phenol,100,7,25,525,90,97.25,,
Bi,0.0038,500,Phenol,100,7,25,525,90,93.21,,
Bi,0.0086,500,Phenol,100,7,25,525,90,84.59,,
Bi,0.0019,500,Phenol,100,7,25,525,120,100,,
Bi,0.0038,500,Phenol,100,7,25,525,120,100,,
Bi,0.0019,600,Phenol,100,7,25,525,15,20.37,,
Bi,0.0019,600,Phenol,100,7,25,525,30,46.61,,
Bi,0.0019,600,Phenol,100,7,25,525,45,63.3,,
Bi,0.0019,600,Phenol,100,7,25,525,60,78.72,,
Bi,0.0019,600,Phenol,100,7,25,525,90,97.25,,
Bi,0.0019,600,Phenol,100,7,25,525,120,100,,
Bi,0.0019,650,Phenol,100,7,25,525,15,36.51,,
Bi,0.0019,650,Phenol,100,7,25,525,30,36.51,,
Bi,0.0019,650,Phenol,100,7,25,525,45,53.39,,
Bi,0.0019,650,Phenol,100,7,25,525,60,68.62,,
Bi,0.0019,650,Phenol,100,7,25,525,90,92.29,,
Mo,0.0084,450,MO,16.5,0,25,400,30,19.4,,
Mo,0.0084,450,MO,17.5,0,25,400,60,30,,
Mo,0.0084,450,MO,18.5,0,25,400,90,40,,
Mo,0.0084,450,MO,19.5,0,25,400,120,50,,
Mo,0.0084,450,MO,20.5,0,25,400,150,60,,
Mo,0.0191,450,MO,21.5,0,25,400,30,20,,
Mo,0.0191,450,MO,22.5,0,25,400,60,36,,
Mo,0.0191,450,MO,23.5,0,25,400,90,50,,
Mo,0.0191,450,MO,24.5,0,25,400,120,62,,
Mo,0.0191,450,MO,25.5,0,25,400,150,74,,
Mo,0.0258,450,MO,26.5,0,25,400,30,14,,
Mo,0.0258,450,MO,27.5,0,25,400,60,29,,
Mo,0.0258,450,MO,28.5,0,25,400,90,44,,
Mo,0.0258,450,MO,29.5,0,25,400,120,54,,
Mo,0.0258,450,MO,30.5,0,25,400,150,64,,
Mo,0.0084,450,MO,31.5,0,25,525,30,12,,
Mo,0.0084,450,MO,32.5,0,25,525,60,19,,
Mo,0.0084,450,MO,33.5,0,25,525,90,28,,
Mo,0.0084,450,MO,34.5,0,25,525,120,34.3,,
Mo,0.0084,450,MO,35.5,0,25,525,150,43,,
